Date,11/13/2024 2:57:54 PM,
Project name,short,
Frame index,23,
Frame interval,1,s,
Vector count,X:,72,Y:,47,

Grid index,GridX,GridY,Measuring coordinatesX[mm],Measuring coordinatesY[mm],VelocityU[mm/s],VelocityV[mm/s],VelocityW[mm/s],Correlation coefficient,AveY,Standard Deviation,Valid Flag
298,10,5,334.594900,142.435800,2.383371,-0.200311,0.000000,0.742906,29.473750,5.424764,1,
299,11,5,376.847400,142.435800,1.297678,0.709535,0.000000,0.836502,33.360630,6.932844,1,
300,12,5,419.099900,142.435800,0.513490,0.528162,0.000000,0.852852,32.382500,7.301708,1,
301,13,5,461.352500,142.435800,0.163578,0.306062,0.000000,0.888911,29.263120,8.603132,1,
302,14,5,503.605000,142.435800,-0.220898,0.198277,0.000000,0.850068,26.096250,7.589844,1,
303,15,5,545.857500,142.435800,0.600090,0.006218,0.000000,0.850541,30.868130,8.720492,1,
304,16,5,588.110100,142.435800,0.324628,-0.177397,0.000000,0.890582,32.106250,7.846812,1,
305,17,5,630.362600,142.435800,-,-,-,-,-,-,0,
306,18,5,672.615200,142.435800,-15.447220,1.823358,0.000000,0.591342,38.607500,6.534596,1,
307,19,5,714.867700,142.435800,-20.543630,9.230731,0.000000,0.653859,38.101880,6.598219,1,
308,20,5,757.120200,142.435800,-22.819260,14.418260,0.000000,0.835634,32.468120,8.671807,1,
309,21,5,799.372800,142.435800,-30.318020,15.325370,0.000000,0.822702,27.121880,7.784008,1,
310,22,5,841.625300,142.435800,-28.078130,14.752850,0.000000,0.730809,30.113120,8.869841,1,
311,23,5,883.877900,142.435800,-25.403490,5.185371,0.000000,0.816486,38.208130,9.732924,1,
312,24,5,926.130400,142.435800,-,-,-,-,-,-,0,
313,25,5,968.382900,142.435800,-27.464270,14.691860,0.000000,0.820123,30.597500,7.889423,1,
314,26,5,1010.635000,142.435800,-26.939310,13.498700,0.000000,0.807610,33.400620,9.324504,1,
315,27,5,1052.888000,142.435800,-28.856640,14.797780,0.000000,0.891367,40.753120,10.032490,1,
316,28,5,1095.141000,142.435800,-,-,-,-,-,-,0,
